date,Ping_latency,Download_speed,Upload_speed,Packet_loss_rate,OT
7/1/2016 2:00,21.85430535,42.39537443,19.93475929,0.999340487,1.369483357
7/1/2016 3:00,47.78214379,49.97638764,17.97978062,1.493493545,1.243014918
7/1/2016 4:00,37.93972738,86.18200235,10.4553878,1.125333561,3.416767803
7/1/2016 5:00,31.93963179,37.30041668,31.14880016,0.166605166,4.86446529
7/1/2016 6:00,12.02083882,87.61672006,24.8779597,0.371160474,3.010885236
7/1/2016 7:00,12.01975342,13.37277094,43.55364763,0.438656368,1.206060904
7/1/2016 8:00,7.613762548,78.79585153,3.541259863,0.515728507,1.884874624
7/1/2016 9:00,43.97792656,85.51702514,32.90566052,1.130806784,1.979171626
7/1/2016 10:00,32.05017553,22.27267702,38.62154617,1.00793156,2.351428517
7/1/2016 11:00,36.863266,45.88292058,38.45535532,0.406320077,1.174413534
7/1/2016 12:00,5.926302243,20.72247859,44.53155042,0.135109687,4.619570802
7/1/2016 13:00,48.64594335,72.12739225,36.99361966,0.342864409,3.062255779
7/1/2016 14:00,42.45991884,55.85803797,46.53488296,1.968762625,3.683723172
7/1/2016 15:00,14.55525998,65.35571794,17.96751679,0.9370939,1.268691348
7/1/2016 16:00,13.18212352,23.66626186,26.154052,1.734691009,1.216461871
7/1/2016 17:00,13.25320294,25.11585689,2.675823838,1.697504933,3.345871088
7/1/2016 18:00,18.69090093,8.942245923,2.333964191,1.023039115,4.549184042
7/1/2016 19:00,28.61403942,35.59641584,13.52607778,1.413375417,3.113928004
7/1/2016 20:00,24.43752584,58.17574283,6.838745463,0.385504021,4.51127669
7/1/2016 21:00,18.10531131,86.50381683,14.49014566,1.37679341,4.243965092
7/1/2016 22:00,32.53338026,68.35810751,10.49807814,0.544769159,1.303415143
7/1/2016 23:00,11.27722373,46.36265072,3.368961192,1.664124194,1.807829898
7/2/2016 0:00,18.14650918,95.54641087,45.64659903,0.167448266,3.630842677
7/2/2016 1:00,21.48628295,73.32829405,2.394710307,1.546277346,2.77400553
7/2/2016 2:00,25.52314929,93.36569427,37.33194293,0.199873813,2.162799255
7/2/2016 3:00,40.33291826,55.12085746,9.303098572,1.762378474,2.674535424
7/2/2016 4:00,13.9853202,29.59590611,45.78702186,0.608409036,2.780798585
7/2/2016 5:00,28.14054973,10.0185352,44.8542051,1.30878673,4.642209003
7/2/2016 6:00,31.6586556,73.97806089,33.38725503,0.975004557,1.413833135
7/2/2016 7:00,7.090268572,16.52378481,34.26723919,0.732606291,2.118922987
7/2/2016 8:00,32.33951834,33.76363719,2.256278815,1.290883666,3.150259266
7/2/2016 9:00,12.67358557,55.58473625,49.27383517,1.895045961,3.793147707
7/2/2016 10:00,7.927321684,58.61957584,44.13596497,0.082539495,3.522549156
7/2/2016 11:00,47.69984918,62.05540371,44.96509884,1.837705712,4.766570951
7/2/2016 12:00,48.45344149,20.79425638,33.64373778,1.21816331,4.182435699
7/2/2016 13:00,41.37788067,41.07505346,18.54977258,1.614628602,3.228307368
7/2/2016 14:00,18.70761961,63.63345158,44.89513516,0.767749907,1.858730767
7/2/2016 15:00,9.39524513,97.13279214,15.99281255,0.94368595,2.803496926
7/2/2016 16:00,35.79048619,74.12495808,29.01015408,1.737701504,3.773528977
7/2/2016 17:00,24.80686222,92.64735692,6.787086673,0.82969594,4.351848699
7/2/2016 18:00,10.49172057,77.41014554,46.25387025,1.069319133,4.838944898
7/2/2016 19:00,27.28296096,61.21311204,8.756981973,0.040389846,3.421811065
7/2/2016 20:00,6.54748345,23.24222007,12.79504668,0.317196012,3.107677469
7/2/2016 21:00,45.91941809,68.33513693,28.79043959,1.283373016,1.070767692
7/2/2016 22:00,16.64509917,64.22105877,38.67646401,1.433953802,1.288396277
7/2/2016 23:00,34.8135028,62.23457119,31.72886268,1.165201874,1.624419991
7/3/2016 0:00,19.02699842,51.52965746,13.14242781,0.286620073,1.219039725
7/3/2016 1:00,28.40306095,55.22237738,2.045266041,0.890810857,2.603452955
7/3/2016 2:00,29.60196257,36.77204008,38.34322785,0.710189533,2.347514181
7/3/2016 3:00,13.3184505,54.3347058,49.28995164,0.991322688,3.549416631
7/3/2016 4:00,48.63130825,23.76781104,40.87582977,1.740658069,3.142660432
7/3/2016 5:00,39.88097705,81.49156775,24.08991767,1.551722877,3.383883038
7/3/2016 6:00,47.27745237,22.6488107,45.38082855,0.167979003,2.887908812
7/3/2016 7:00,45.26723077,13.07179754,21.67268831,1.780618396,2.110948594
7/3/2016 8:00,31.90549905,46.4433725,27.19683604,0.943534302,4.81130126
7/3/2016 9:00,46.48434058,67.53920675,24.90222883,1.48772429,1.345636639
7/3/2016 10:00,8.982162592,46.58309837,23.48594589,0.280078463,4.755563998
7/3/2016 11:00,13.81922881,31.29164254,39.20915693,1.341439051,2.244952187
7/3/2016 12:00,7.035228001,58.02626247,27.28490755,0.472652035,3.050645781
7/3/2016 13:00,19.63986488,37.96522186,17.20242186,0.876761794,1.435369291
7/3/2016 14:00,22.49047804,93.62243056,14.39159205,0.03372574,1.283724273
7/3/2016 15:00,17.21070643,92.65128826,3.811871214,0.303221276,2.718181795
7/3/2016 16:00,42.29318791,52.7253229,29.99336777,0.184160986,3.966789506
7/3/2016 17:00,21.0538997,36.14897943,13.03814794,0.479488346,2.07745911
7/3/2016 18:00,17.64205294,75.02757933,9.110428257,0.20003618,3.249391556
7/3/2016 19:00,29.42132374,8.487729631,33.38383826,1.383820053,2.114601362
7/3/2016 20:00,11.34159012,50.10305557,34.69804438,0.058079804,2.554452244
7/3/2016 21:00,41.09886413,36.95072246,38.10343483,1.235481001,4.625785274
7/3/2016 22:00,8.354778966,92.45090908,26.17169102,0.281415662,4.423358502
7/3/2016 23:00,49.40991215,6.140287591,44.91462105,1.890322914,3.064070174
7/4/2016 0:00,39.75101462,57.51741319,46.94445216,1.866188146,1.95242251
7/4/2016 1:00,13.94220567,75.3630402,40.75380511,0.451006205,1.772735651
7/4/2016 2:00,5.248495271,51.07670881,32.50848714,1.228842596,4.816349412
7/4/2016 3:00,41.69576428,13.11328787,16.57860577,0.056010639,1.810866386
7/4/2016 4:00,36.80858047,97.38383205,49.18135624,1.863577086,4.232673244
7/4/2016 5:00,37.80532256,54.21099098,15.15853603,1.045974616,2.475880838
7/4/2016 6:00,39.7071656,63.34769321,11.72753226,0.086446303,4.94263939
7/4/2016 7:00,8.332009328,27.47792936,23.22339746,0.684999986,2.472622961
7/4/2016 8:00,21.13095778,50.93231809,4.728347394,0.153698924,2.4060665
7/4/2016 9:00,10.21410768,45.76920174,48.9677343,0.785888879,3.549854516
7/4/2016 10:00,43.83965416,12.11510499,30.24481071,1.339852684,4.846067227
